LoanID,StudentID,ItemID,ItemName,ItemCategory,CheckoutDate,ReturnDate,Status
1,23,20,BenQ Portable Projector #2,Projector,2025-12-08,,checked_out
2,29,31,AmazonBasics Tripod #1,Tripod,2025-02-21,2025-02-23,returned
3,31,30,Manfrotto Compact #2,Tripod,2025-03-11,2025-03-30,returned
4,6,28,Shure SM58 #2,Microphone,2025-09-11,2025-09-17,returned
5,22,21,TI-84 Plus #1,Calculator,2025-11-02,,checked_out
6,30,9,Nikon D3500 #1,Camera,2025-12-05,,checked_out
7,28,27,Shure SM58 #1,Microphone,2025-10-23,2025-10-25,returned
8,16,18,Epson PowerLite #2,Projector,2025-09-14,2025-09-18,returned
9,34,13,iPad 10th Gen #1,Tablet,2025-10-10,2025-10-21,returned
10,23,28,Shure SM58 #2,Microphone,2025-04-20,2025-05-08,returned
11,5,16,Samsung Galaxy Tab #2,Tablet,2025-10-11,2025-10-26,returned
12,25,22,TI-84 Plus #2,Calculator,2025-01-18,2025-02-03,returned
13,30,25,Blue Yeti #1,Microphone,2025-09-28,2025-10-19,returned
14,14,14,iPad 10th Gen #2,Tablet,2025-02-17,2025-02-20,returned
15,16,3,MacBook Air 13 #1,Laptop,2025-11-12,,checked_out
16,21,16,Samsung Galaxy Tab #2,Tablet,2025-09-27,2025-10-18,returned
17,11,4,MacBook Air 13 #2,Laptop,2025-10-29,,checked_out
18,6,18,Epson PowerLite #2,Projector,2025-05-07,2025-05-22,returned
19,33,32,AmazonBasics Tripod #2,Tripod,2025-09-26,2025-09-28,returned
20,21,22,TI-84 Plus #2,Calculator,2025-11-30,2025-12-08,returned
21,34,13,iPad 10th Gen #1,Tablet,2025-01-25,2025-02-02,returned
22,34,17,Epson PowerLite #1,Projector,2025-11-03,2025-11-04,returned
23,24,29,Manfrotto Compact #1,Tripod,2025-10-30,2025-11-07,returned
24,35,20,BenQ Portable Projector #2,Projector,2025-11-11,2025-12-02,returned
25,4,4,MacBook Air 13 #2,Laptop,2025-11-28,2025-11-30,returned
26,30,10,Nikon D3500 #2,Camera,2025-09-27,,checked_out
27,20,19,BenQ Portable Projector #1,Projector,2025-09-20,2025-10-09,returned
28,16,20,BenQ Portable Projector #2,Projector,2025-09-22,2025-09-27,returned
29,36,15,Samsung Galaxy Tab #1,Tablet,2025-11-08,2025-11-11,returned
30,6,19,BenQ Portable Projector #1,Projector,2025-02-12,2025-02-25,returned
31,37,19,BenQ Portable Projector #1,Projector,2025-03-16,2025-04-01,returned
32,23,17,Epson PowerLite #1,Projector,2025-02-27,2025-03-08,returned
33,12,20,BenQ Portable Projector #2,Projector,2025-10-15,2025-10-16,returned
34,15,15,Samsung Galaxy Tab #1,Tablet,2025-08-28,2025-09-10,returned
35,5,9,Nikon D3500 #1,Camera,2025-09-10,2025-09-28,returned
36,24,31,AmazonBasics Tripod #1,Tripod,2025-03-26,2025-04-12,returned
37,30,34,Portable Whiteboard Kit #2,Whiteboard Kit,2025-11-04,2025-11-19,returned
38,40,4,MacBook Air 13 #2,Laptop,2025-04-03,2025-04-07,returned
39,7,9,Nikon D3500 #1,Camera,2025-09-27,,checked_out
40,25,29,Manfrotto Compact #1,Tripod,2025-03-12,2025-03-22,returned
41,11,30,Manfrotto Compact #2,Tripod,2025-09-10,2025-09-28,returned
42,20,24,Casio fx-9750 #2,Calculator,2025-12-04,2025-12-06,returned
43,5,27,Shure SM58 #1,Microphone,2025-10-16,2025-10-31,returned
44,30,5,Lenovo ThinkPad #1,Laptop,2025-04-12,2025-04-20,returned
45,10,15,Samsung Galaxy Tab #1,Tablet,2025-10-13,2025-10-20,returned
46,38,34,Portable Whiteboard Kit #2,Whiteboard Kit,2025-10-04,2025-10-11,returned
47,34,19,BenQ Portable Projector #1,Projector,2025-01-27,2025-02-03,returned
48,6,32,AmazonBasics Tripod #2,Tripod,2025-12-07,,checked_out
49,22,6,Lenovo ThinkPad #2,Laptop,2025-12-07,,checked_out
50,20,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-11-10,2025-11-22,returned
51,40,15,Samsung Galaxy Tab #1,Tablet,2025-04-24,2025-05-11,returned
52,36,17,Epson PowerLite #1,Projector,2025-11-28,2025-12-08,returned
53,16,26,Blue Yeti #2,Microphone,2025-09-09,2025-09-28,returned
54,2,26,Blue Yeti #2,Microphone,2025-11-08,2025-11-09,returned
55,1,6,Lenovo ThinkPad #2,Laptop,2025-11-29,2025-12-05,returned
56,5,25,Blue Yeti #1,Microphone,2025-10-12,2025-10-27,returned
57,40,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-10-18,2025-11-05,returned
58,26,24,Casio fx-9750 #2,Calculator,2025-09-22,2025-09-27,returned
59,16,13,iPad 10th Gen #1,Tablet,2025-09-18,2025-09-23,returned
60,5,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-09-24,2025-10-10,returned
61,22,18,Epson PowerLite #2,Projector,2025-09-02,2025-09-11,returned
62,39,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-09-08,2025-09-27,returned
63,19,9,Nikon D3500 #1,Camera,2025-09-18,2025-10-01,returned
64,6,28,Shure SM58 #2,Microphone,2025-12-09,,checked_out
65,5,14,iPad 10th Gen #2,Tablet,2025-10-28,2025-11-09,returned
66,6,19,BenQ Portable Projector #1,Projector,2025-10-29,2025-11-18,returned
67,27,4,MacBook Air 13 #2,Laptop,2025-09-20,2025-10-03,returned
68,29,7,Canon EOS R50 #1,Camera,2025-08-31,2025-09-18,returned
69,23,15,Samsung Galaxy Tab #1,Tablet,2025-11-16,,checked_out
70,2,8,Canon EOS R50 #2,Camera,2025-10-10,2025-10-20,returned
71,30,10,Nikon D3500 #2,Camera,2025-03-11,2025-03-17,returned
72,3,2,Dell Latitude 14 #2,Laptop,2025-09-25,2025-09-26,returned
73,39,18,Epson PowerLite #2,Projector,2025-03-27,2025-03-28,returned
74,4,15,Samsung Galaxy Tab #1,Tablet,2025-09-02,2025-09-13,returned
75,4,17,Epson PowerLite #1,Projector,2025-10-12,2025-10-27,returned
76,20,6,Lenovo ThinkPad #2,Laptop,2025-02-15,2025-02-19,returned
77,5,11,GoPro Hero #1,Camera,2025-01-15,2025-01-29,returned
78,5,11,GoPro Hero #1,Camera,2025-11-01,2025-11-07,returned
79,33,31,AmazonBasics Tripod #1,Tripod,2025-12-04,2025-12-08,returned
80,27,32,AmazonBasics Tripod #2,Tripod,2025-10-25,2025-11-07,returned
81,32,7,Canon EOS R50 #1,Camera,2025-05-06,2025-05-07,returned
82,14,9,Nikon D3500 #1,Camera,2025-11-25,2025-12-08,returned
83,36,27,Shure SM58 #1,Microphone,2025-04-02,2025-04-22,returned
84,5,30,Manfrotto Compact #2,Tripod,2025-10-17,2025-11-05,returned
85,36,15,Samsung Galaxy Tab #1,Tablet,2025-11-20,2025-11-22,returned
86,15,19,BenQ Portable Projector #1,Projector,2025-04-15,2025-04-25,returned
87,18,3,MacBook Air 13 #1,Laptop,2025-08-25,2025-08-30,returned
88,2,3,MacBook Air 13 #1,Laptop,2025-09-25,2025-10-15,returned
89,26,13,iPad 10th Gen #1,Tablet,2025-09-03,2025-09-24,returned
90,33,12,GoPro Hero #2,Camera,2025-10-28,2025-11-18,returned
91,8,14,iPad 10th Gen #2,Tablet,2025-10-23,2025-11-04,returned
92,7,4,MacBook Air 13 #2,Laptop,2025-10-15,2025-10-19,returned
93,1,27,Shure SM58 #1,Microphone,2025-04-30,2025-05-16,returned
94,29,11,GoPro Hero #1,Camera,2025-11-28,2025-12-08,returned
95,34,1,Dell Latitude 14 #1,Laptop,2025-11-18,2025-11-28,returned
96,28,23,Casio fx-9750 #1,Calculator,2025-11-26,2025-12-08,returned
97,17,11,GoPro Hero #1,Camera,2025-11-27,2025-12-08,returned
98,13,25,Blue Yeti #1,Microphone,2025-10-27,2025-11-01,returned
99,12,17,Epson PowerLite #1,Projector,2025-08-29,,checked_out
100,21,12,GoPro Hero #2,Camera,2025-03-18,2025-03-25,returned
101,24,10,Nikon D3500 #2,Camera,2025-10-19,,checked_out
102,14,13,iPad 10th Gen #1,Tablet,2025-11-24,2025-12-08,returned
103,36,19,BenQ Portable Projector #1,Projector,2025-04-14,2025-04-19,returned
104,1,30,Manfrotto Compact #2,Tripod,2025-11-12,2025-11-16,returned
105,22,14,iPad 10th Gen #2,Tablet,2025-11-20,2025-11-29,returned
106,4,10,Nikon D3500 #2,Camera,2025-02-03,2025-02-22,returned
107,17,31,AmazonBasics Tripod #1,Tripod,2025-01-29,2025-02-01,returned
108,23,14,iPad 10th Gen #2,Tablet,2025-11-18,2025-12-08,returned
109,26,32,AmazonBasics Tripod #2,Tripod,2025-01-24,2025-02-12,returned
110,10,3,MacBook Air 13 #1,Laptop,2025-12-09,,checked_out
111,20,1,Dell Latitude 14 #1,Laptop,2025-04-15,2025-05-03,returned
112,40,10,Nikon D3500 #2,Camera,2025-09-24,,checked_out
113,34,30,Manfrotto Compact #2,Tripod,2025-08-31,2025-09-04,returned
114,8,18,Epson PowerLite #2,Projector,2025-12-01,2025-12-05,returned
115,5,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-04-07,2025-04-18,returned
116,13,7,Canon EOS R50 #1,Camera,2025-09-06,2025-09-18,returned
117,4,11,GoPro Hero #1,Camera,2025-10-12,,checked_out
118,10,11,GoPro Hero #1,Camera,2025-12-04,2025-12-08,returned
119,18,20,BenQ Portable Projector #2,Projector,2025-02-16,2025-02-24,returned
120,15,3,MacBook Air 13 #1,Laptop,2025-12-06,,checked_out
121,11,12,GoPro Hero #2,Camera,2025-10-16,,checked_out
122,1,7,Canon EOS R50 #1,Camera,2025-12-02,2025-12-08,returned
123,34,18,Epson PowerLite #2,Projector,2025-04-03,2025-04-21,returned
124,20,30,Manfrotto Compact #2,Tripod,2025-10-04,2025-10-07,returned
125,18,21,TI-84 Plus #1,Calculator,2025-05-04,2025-05-12,returned
126,8,3,MacBook Air 13 #1,Laptop,2025-10-08,2025-10-20,returned
127,17,13,iPad 10th Gen #1,Tablet,2025-03-10,2025-03-14,returned
128,29,22,TI-84 Plus #2,Calculator,2025-02-07,2025-02-09,returned
129,29,5,Lenovo ThinkPad #1,Laptop,2025-11-24,2025-12-03,returned
130,40,21,TI-84 Plus #1,Calculator,2025-11-17,2025-11-27,returned
131,25,17,Epson PowerLite #1,Projector,2025-12-03,2025-12-08,returned
132,15,5,Lenovo ThinkPad #1,Laptop,2025-10-07,,checked_out
133,19,15,Samsung Galaxy Tab #1,Tablet,2025-03-02,2025-03-08,returned
134,33,20,BenQ Portable Projector #2,Projector,2025-11-18,2025-12-01,returned
135,18,34,Portable Whiteboard Kit #2,Whiteboard Kit,2025-10-26,2025-11-04,returned
136,39,21,TI-84 Plus #1,Calculator,2025-10-23,2025-10-30,returned
137,27,32,AmazonBasics Tripod #2,Tripod,2025-03-27,2025-04-04,returned
138,11,16,Samsung Galaxy Tab #2,Tablet,2025-02-06,2025-02-24,returned
139,11,8,Canon EOS R50 #2,Camera,2025-12-02,2025-12-08,returned
140,1,23,Casio fx-9750 #1,Calculator,2025-10-02,2025-10-16,returned
141,12,5,Lenovo ThinkPad #1,Laptop,2025-11-09,,checked_out
142,22,27,Shure SM58 #1,Microphone,2025-12-05,,checked_out
143,32,2,Dell Latitude 14 #2,Laptop,2025-10-13,2025-10-26,returned
144,7,28,Shure SM58 #2,Microphone,2025-03-02,2025-03-23,returned
145,6,31,AmazonBasics Tripod #1,Tripod,2025-08-27,2025-08-29,returned
146,38,31,AmazonBasics Tripod #1,Tripod,2025-10-28,2025-11-14,returned
147,9,18,Epson PowerLite #2,Projector,2025-01-20,2025-01-22,returned
148,22,23,Casio fx-9750 #1,Calculator,2025-04-14,2025-04-29,returned
149,35,15,Samsung Galaxy Tab #1,Tablet,2025-04-07,2025-04-12,returned
150,21,26,Blue Yeti #2,Microphone,2025-09-28,,checked_out
151,16,20,BenQ Portable Projector #2,Projector,2025-04-09,2025-04-28,returned
152,7,10,Nikon D3500 #2,Camera,2025-09-28,2025-10-05,returned
153,11,17,Epson PowerLite #1,Projector,2025-10-31,2025-11-14,returned
154,37,21,TI-84 Plus #1,Calculator,2025-09-21,2025-10-04,returned
155,36,1,Dell Latitude 14 #1,Laptop,2025-09-08,,checked_out
156,31,18,Epson PowerLite #2,Projector,2025-04-17,2025-05-06,returned
157,13,17,Epson PowerLite #1,Projector,2025-08-30,2025-08-31,returned
158,38,2,Dell Latitude 14 #2,Laptop,2025-11-30,2025-12-08,returned
159,33,32,AmazonBasics Tripod #2,Tripod,2025-09-05,2025-09-09,returned
160,35,12,GoPro Hero #2,Camera,2025-02-08,2025-02-15,returned
161,16,4,MacBook Air 13 #2,Laptop,2025-09-24,2025-09-27,returned
162,38,28,Shure SM58 #2,Microphone,2025-02-23,2025-03-14,returned
163,7,2,Dell Latitude 14 #2,Laptop,2025-10-03,2025-10-16,returned
164,16,30,Manfrotto Compact #2,Tripod,2025-03-28,2025-04-17,returned
165,16,7,Canon EOS R50 #1,Camera,2025-11-22,2025-12-08,returned
166,23,27,Shure SM58 #1,Microphone,2025-11-12,2025-11-20,returned
167,17,16,Samsung Galaxy Tab #2,Tablet,2025-12-10,,checked_out
168,23,33,Portable Whiteboard Kit #1,Whiteboard Kit,2025-10-15,2025-11-02,returned
169,27,17,Epson PowerLite #1,Projector,2025-12-09,,checked_out
170,37,31,AmazonBasics Tripod #1,Tripod,2025-09-25,2025-10-09,returned
171,35,15,Samsung Galaxy Tab #1,Tablet,2025-10-26,2025-11-09,returned
172,25,3,MacBook Air 13 #1,Laptop,2025-10-24,2025-11-08,returned
173,31,32,AmazonBasics Tripod #2,Tripod,2025-03-13,2025-03-14,returned
174,8,13,iPad 10th Gen #1,Tablet,2025-02-24,2025-02-28,returned
175,22,2,Dell Latitude 14 #2,Laptop,2025-09-08,2025-09-17,returned
176,28,32,AmazonBasics Tripod #2,Tripod,2025-09-13,2025-09-20,returned
177,19,28,Shure SM58 #2,Microphone,2025-09-14,2025-09-23,returned
178,11,34,Portable Whiteboard Kit #2,Whiteboard Kit,2025-08-25,2025-09-10,returned
179,28,12,GoPro Hero #2,Camera,2025-09-29,2025-10-02,returned
180,23,14,iPad 10th Gen #2,Tablet,2025-11-20,2025-11-24,returned
